,id,atm_group,address,address_rus,lat,long,target,area_fias_id,area_with_type,city_with_type,city_fias_id,federal_district,capital_marker,fias_id,fias_level,region_with_type,region_fias_id,settlement_with_type,settlement_fias_id,street_with_type,street_fias_id,city_lat,city_lon,region_lat,region_lon,street_lat,street_lon,city_area,city_district_fias_id,city_district_with_type,area_lat,area_lon,settlement_lat,settlement_lon,metro_station_name_1,metro_line_name_1,metro_distance_1,metro_station_name_2,metro_line_name_2,metro_distance_2,metro_station_name_3,metro_line_name_3,metro_distance_3,street,house_fias_id,house,metro
1373,26,496.5,"ARBAT,1                   MOSCOW      ","улица Арбат, 1, Москва, Россия, 119019",55.751812,37.599292,-0.145001231474755,,,г Москва,0c5b2444-70a0-4932-980c-b4dc0d3f02b5,Центральный,0,4cbce9f3-6fd7-4162-962d-41268b75aadc,8,г Москва,0c5b2444-70a0-4932-980c-b4dc0d3f02b5,,,ул Арбат,b30b63a1-c2be-4efc-9d0c-c9b6d7438e15,55.75396,37.620393,55.75396,37.620393,55.749491,37.591521,Центральный,,р-н Арбат,,,,,Арбатская,Филёвская,0.1,Арбатская,Арбатско-Покровская,0.3,Александровский сад,Филёвская,0.6,Арбат,4cbce9f3-6fd7-4162-962d-41268b75aadc,1,0.1
3875,28,496.5,DOSTOEVSKOGO 80           KAZAN       ,"улица Достоевского, 80, Казань, Республика Татарстан, Россия, 420097",55.786885,49.160124,-0.101912830494331,,,г Казань,93b3df57-4c89-44df-ac42-96f05e9cd3b9,Приволжский,2,97728956-9fc0-4255-a01e-145ce47c9943,8,Респ Татарстан,0c089b04-099e-4e0e-955a-6bf1ce525f1a,,,ул Достоевского,7dc6f9ef-d852-43b6-b45c-4c6e532fe6d9,55.794438,49.111451,,,55.788064,49.150701,,,Вахитовский р-н,,,,,Суконная слобода,Центральная,1.6,Площадь Тукая,Центральная,2.4,Аметьево,Центральная,2.4,Достоевского,97728956-9fc0-4255-a01e-145ce47c9943,80,1.6
116,29,496.5,LENINA 32                 YUKHNOV     ,"улица Ленина, 32, Юхнов, Калужская область, Россия, 249910",54.740854,35.225583,-0.050898436991619,c2e2b85d-d344-4d9e-b58b-403840a25fb1,Юхновский р-н,г Юхнов,503b2859-0304-4e8e-b627-8f611ff27d5e,Центральный,1,978cdaea-8bd9-499e-aabc-852d24321fe4,8,Калужская обл,18133adf-90c2-438e-88c4-62c41656de70,,,ул Ленина,130e3d2b-90ff-4158-90e2-1f1db8a89693,54.744659,35.242463,,,54.747912,35.226158,,,,,,,,,,,,,,,,,Ленина,978cdaea-8bd9-499e-aabc-852d24321fe4,32,
2611,30,496.5,SHKOLNAYA 4               TULOMA      ,"Школьная улица, 4, село Тулома, сельское поселение Тулома, Кольский район, Мурманская область, Россия, 184362",68.818756,32.690403,-0.0898951648876469,5b22eaf7-3bab-437c-938f-5af0f45502db,Кольский р-н,,,Северо-Западный,0,ec9ea683-897c-4fa2-aff4-7b6dbb915ffe,8,Мурманская обл,1c727518-c96a-4f34-9ae6-fd510da3be03,село Тулома,2686188a-cf23-4a7f-9743-6f0c941f6579,ул Школьная,38491abe-c452-41c3-8f72-5e91ddb8a24b,,,,,68.818912,32.690717,,,,,,68.818315,32.692262,,,,,,,,,,Школьная,ec9ea683-897c-4fa2-aff4-7b6dbb915ffe,4,
3876,31,496.5,STUDENCHESKAYA 14         KISELEVSK   ,"Студенческая улица, 14, Киселёвск, Кемеровская область, Россия, 652718",54.004157,86.706325,-0.115792747978816,,,г Киселевск,36122f01-1666-42e0-9c65-937787e8ca45,Сибирский,0,c035bd86-3134-463b-a020-3e060203fd99,8,Кемеровская область - Кузбасс,393aeccb-89ef-4a7e-ae42-08d5cebc2e30,,,ул Студенческая,8c11f9b9-2aaf-40da-a10d-49fa72090e16,54.006025,86.636706,,,54.005485,86.704547,,,,,,,,,,,,,,,,,Студенческая,c035bd86-3134-463b-a020-3e060203fd99,14,
2612,32,496.5,STROITELEY 40             ULAN-UDE    ,"проспект Строителей, 40, Улан-Удэ, Республика Бурятия, Россия, 670042",51.809602,107.646181,-0.0288717857848664,,,г Улан-Удэ,9fdcc25f-a3d0-4f28-8b61-40648d099065,Дальневосточный,2,74bf6624-3d17-40a3-be47-9873fa9a57bd,8,Респ Бурятия,a84ebed3-153d-4ba9-8532-8bdf879e1f5a,,,пр-кт Строителей,4fc01024-bbc5-47dd-8a4a-f17d16c6ad62,51.833507,107.584125,,,51.814569,107.648525,,edd79888-eea3-4068-94a4-abbbc9af4c86,Октябрьский р-н,,,,,,,,,,,,,,Строителей,74bf6624-3d17-40a3-be47-9873fa9a57bd,40,
5147,34,1022,ABB 1 CHUJKOVA            KAZAN       ,"улица Маршала Чуйкова, 1, Казань, Республика Татарстан, Россия, 420094",55.836312,49.103566,-0.0473886955804335,,,г Казань,93b3df57-4c89-44df-ac42-96f05e9cd3b9,Приволжский,2,f84f91c6-b97c-464f-ba4c-6c886f0f9aa2,8,Респ Татарстан,0c089b04-099e-4e0e-955a-6bf1ce525f1a,,,ул Маршала Чуйкова,b6075bb1-e511-4431-bf0b-bebbb08ba285,55.794438,49.111451,,,55.835907,49.131064,,,Ново-Савиновский р-н,,,,,Северный вокзал,Центральная,1.5,Яшьлек (Юность),Центральная,1.6,Козья слобода,Центральная,2.1,Маршала Чуйкова,f84f91c6-b97c-464f-ba4c-6c886f0f9aa2,1,1.5
5013,36,32,"KOMSOMOLSKAYA, 76      TOLYATTI       ","Комсомольская улица, 76, Тольятти, Самарская область, Россия, 445009",53.519311,49.416485,0.133349169296476,,,г Тольятти,242e87c1-584d-4360-8c4c-aae2fe90048e,Приволжский,0,960deed6-e306-4f48-8600-9cc1a24f14bc,8,Самарская обл,df3d7359-afa9-4aaa-8ff9-197e73906b1c,,,ул Комсомольская,f30b95dd-53b3-4306-bb19-1315a1d265d4,53.5205667,49.3894799,,,53.517555,49.427364,,,Центральный р-н,,,,,,,,,,,,,,Комсомольская,960deed6-e306-4f48-8600-9cc1a24f14bc,76,
4,37,32,"GVARDEYSKAYA PL., 2    NORILSK        ","Гвардейская площадь, 2, Норильск, Красноярский край, Россия, 663302",69.343541,88.211228,0.0792773520096629,,,г Норильск,d301a980-4a45-4066-9a20-4e783856a562,Сибирский,0,52ad0d91-8f74-4636-926b-65e2a246d124,8,Красноярский край,db9c4f8b-b706-40e2-b2b4-d31b98dcd3d1,,,Гвардейская пл,3a60dadd-8a7b-4d2c-b0b1-9b139f908c0e,69.349039,88.201014,,,69.343988,88.210258,,,,,,,,,,,,,,,,,Гвардейская,52ad0d91-8f74-4636-926b-65e2a246d124,2,
3760,39,32,"SHKOLNAYA, 16          NORILSK        ","Школьная улица, 16, Норильск, Красноярский край, Россия, 663340",69.350498,87.755207,0.187148423451116,,,г Норильск,d301a980-4a45-4066-9a20-4e783856a562,Сибирский,0,ac541001-4442-4705-b3d8-73f8273421c4,8,Красноярский край,db9c4f8b-b706-40e2-b2b4-d31b98dcd3d1,,,ул Школьная,c4df8ac2-da27-4ac1-b096-58f013fa6a13,69.349039,88.201014,,,69.348754,87.759977,,,р-н Кайеркан,,,,,,,,,,,,,,Школьная,ac541001-4442-4705-b3d8-73f8273421c4,16,
5014,40,32,"TALNAKHSKAYA, 56       NORILSK        ","Талнахская улица, 56, Норильск, Красноярский край, Россия, 663318",69.356626,88.205551,0.173271808610795,,,г Норильск,d301a980-4a45-4066-9a20-4e783856a562,Сибирский,0,2297176f-4560-4256-b314-5a29faac0858,8,Красноярский край,db9c4f8b-b706-40e2-b2b4-d31b98dcd3d1,,,ул Талнахская,986a5ff0-92a6-4adb-bc06-a6654d8daa1d,69.349039,88.201014,,,69.352318,88.211354,,,Центральный р-н,,,,,,,,,,,,,,Талнахская,2297176f-4560-4256-b314-5a29faac0858,56,
5015,41,32,"MOSKOVSKAYA, 2         KYZYL          ","Московская улица, 2, Кызыл, Республика Тыва, Россия, 667010",51.705247,94.40575,0.154532814877082,,,г Кызыл,8df8c56f-a46e-438f-a85b-a9b18ad4fc77,Сибирский,2,4a259993-55ee-44e0-aba5-5950ead61d72,8,Респ Тыва,026bc56f-3731-48e9-8245-655331f596c0,,,ул Московская,5008f50d-9a9b-4d7b-9618-d517937a5e89,51.719086,94.437757,,,51.691375,94.406388,,,,,,,,,,,,,,,,,Московская,4a259993-55ee-44e0-aba5-5950ead61d72,2,
2508,43,32,"MIKHAILA POPOVICHA, 4A VOLOGDA        ","улица Михаила Поповича, 12, Вологда, Россия, 160010",59.243606,39.83739,0.109191863615686,,,г Вологда,023484a5-f98d-4849-82e1-b7e0444b54ef,Северо-Западный,2,85fe641e-8222-4f57-a228-97ac29230d88,8,Вологодская обл,ed36085a-b2f5-454f-b9a9-1c9a678ee618,,,ул Михаила Поповича,f19d8105-a69e-4c33-bdae-95caa741fe8b,59.220501,39.891523,,,59.245714,39.83713,,,,,,,,,,,,,,,,,Михаила Поповича,85fe641e-8222-4f57-a228-97ac29230d88,12,
1254,44,32,"GUBAREVICHA, 5         ELISTRA        ","улица Губаревича, 5, Элиста, Республика Калмыкия, Россия, 358000",46.307687,44.272795,0.139542793665258,,,г Элиста,d5bd18b9-22c1-48e2-9b4a-3b7a4c89a3cb,Южный,2,81494304-a83c-4cac-aeac-10e1284c8397,8,Респ Калмыкия,491cde9d-9d76-4591-ab46-ea93c079e686,,,ул им Губаревича,3ecdd3dd-eba4-429c-a98e-5d44555e731a,46.308309,44.270181,,,46.30938,44.271807,,,,,,,,,,,,,,,,,им Губаревича,81494304-a83c-4cac-aeac-10e1284c8397,5,
1255,45,32,"KUBANSKAYA, 23, 2      ASTRAKHAN      ","Кубанская улица, 23к2, Астрахань, Россия, 414057",46.32687,48.039745,0.0965890678166445,,,г Астрахань,a101dd8b-3aee-4bda-9c61-9df106f145ff,Южный,2,0b349886-9a5a-477f-b831-99ef9e0c9d96,8,Астраханская обл,83009239-25cb-4561-af8e-7ee111b1cb73,,,ул Кубанская,978f3033-5899-43f3-8eb1-7180007615f3,46.3655875,48.0558983,,,46.329558,48.038694,,,,,,,,,,,,,,,,,Кубанская,0b349886-9a5a-477f-b831-99ef9e0c9d96,23,
5016,48,32,"SOLNECHNAYA, 18.3      KRASNODAR      ","Солнечная улица, 18/3, Краснодар, Россия",45.071466,39.0044,0.152797460248523,,,г Краснодар,7dfa745e-aa19-4688-b121-b655c11e482f,Южный,2,a81062b2-bc64-4659-8c95-bb0a071e7a4b,8,Краснодарский край,d00e1013-16bd-4c09-b3d5-3cb09fc54bd8,,,ул Солнечная,777d0603-f4c7-40dd-91bb-ec83af36d4a1,45.040216,38.975996,,,45.072185,39.003996,,,,,,,,,,,,,,,,,Солнечная,a81062b2-bc64-4659-8c95-bb0a071e7a4b,18/3,
5017,50,32,"VERESHCHAGINA, 45      CHEREPOVETS    ","улица Верещагина, 45, Череповец, Вологодская область, Россия, 162606",59.128135,37.915463,0.151225729758703,,,г Череповец,b4c30848-5181-44b4-88fa-456e1c4aeb0f,Северо-Западный,0,e7033998-3a0c-47ec-858b-13c8d37d5ffd,8,Вологодская обл,ed36085a-b2f5-454f-b9a9-1c9a678ee618,,,ул Верещагина,67c491ba-4577-4321-8c3b-8cc69cd47f97,59.1268272,37.9091462,,,59.126233,37.915121,,,,,,,,,,,,,,,,,Верещагина,e7033998-3a0c-47ec-858b-13c8d37d5ffd,45,
3877,52,496.5,LENINA 141                TOMSK       ,"проспект Ленина, 141, Томск, Россия, 634009",56.49454,84.94861,-0.118738364149807,,,г Томск,e3b0eae8-a4ce-4779-ae04-5c0797de66be,Сибирский,2,87269b82-5075-4ece-93f2-cea34b27dc75,8,Томская обл,889b1f3a-98aa-40fc-9d3d-0f41192758ab,,,пр-кт Ленина,08064cd6-7dad-4648-be3e-910baf1e03f5,56.48468,84.948197,,,56.490828,84.948134,,,,,,,,,,,,,,,,,Ленина,87269b82-5075-4ece-93f2-cea34b27dc75,141,
3878,53,496.5,"50 LET OKTYABRYA,16       PETROPAVLOVS","проспект 50 лет Октября, 16, Петропавловск-Камчатский, Камчатский край, Россия, 683024",53.056366,158.63646,0.0071866264648658,,,г Петропавловск-Камчатский,0b3f0723-5fe0-4c23-af44-8082166c6d2e,Дальневосточный,2,5b40fe4c-c0bd-4794-8dd8-8f5797c1d3c7,8,Камчатский край,d02f30fc-83bf-4c0f-ac2b-5729a866a207,,,пр-кт 50 лет Октября,2c71b9fb-b5ff-4310-a93a-229082c907cc,53.036996,158.655954,,,53.054959,158.637368,,,,,,,,,,,,,,,,,50 лет Октября,5b40fe4c-c0bd-4794-8dd8-8f5797c1d3c7,16,
2613,54,496.5,RIBNIKOV 1                UMBA        ,"поселок городского типа Умба, городское поселение Умба, Терский район, Мурманская область, Россия",66.684759,34.344174,-0.111583613038224,b184f590-851f-45b8-8726-001f715274ad,Терский р-н,,,Северо-Западный,1,163475a7-ec13-4a96-967a-3e9f6a7c2b1c,7,Мурманская обл,1c727518-c96a-4f34-9ae6-fd510da3be03,пгт Умба,4910cf5b-9268-4db5-ae5f-71dfa166f277,ул Кирова,163475a7-ec13-4a96-967a-3e9f6a7c2b1c,,,,,66.68714,34.346025,,,,,,66.684759,34.344174,,,,,,,,,,Кирова,,,
1374,55,496.5,PERVOMAYSKAYA 59A         KANDALAKSHA ,"Первомайская улица, 59А, Кандалакша, городское поселение Кандалакша, Мурманская область, Россия, 184042",67.153015,32.414943,-0.101442443502253,3f26e2d0-a8ad-4b9c-8ed0-79f63ff019af,Кандалакшский р-н,г Кандалакша,30fa6bcc-608e-40cb-b22a-b202967ff2a6,Северо-Западный,1,b14e8950-6f62-4905-a815-219d913a9696,8,Мурманская обл,1c727518-c96a-4f34-9ae6-fd510da3be03,,,ул Первомайская,073b8a42-f886-49d6-87ca-a2df5b13ee14,67.156727,32.414306,,,67.150847,32.413389,,,,,,,,,,,,,,,,,Первомайская,b14e8950-6f62-4905-a815-219d913a9696,59,
1375,57,496.5,TSENTRALNAYA 9B           SVETLOLOBOVO,"Центральная улица, 9, село Светлолобово, Новосёловский район, Красноярский край, Россия",55.0907185,90.8519863,-0.0800818402124782,0279f552-85df-40e8-a703-1d2d99a72f35,Новоселовский р-н,,,Сибирский,0,5a2a4268-b7a1-4bf4-bcf6-2e37358517d8,8,Красноярский край,db9c4f8b-b706-40e2-b2b4-d31b98dcd3d1,с Светлолобово,cc011f0d-c33f-4f6a-bb0c-7eb5be30d8b6,ул Центральная,6f3b6495-8473-48a3-8974-3ad18e93d36f,,,,,55.090815,90.851988,,,,,,55.09201,90.844469,,,,,,,,,,Центральная,5a2a4268-b7a1-4bf4-bcf6-2e37358517d8,9,
2614,59,496.5,KRASNOGVARDEYSKAYA 75/1   SPASSK DALNI,"Красногвардейская улица, 75/1, Спасск-Дальний, Приморский край, Россия, 692238",44.576938,132.826623,-0.0295444188673066,,,г Спасск-Дальний,e55554eb-c571-49d2-bf69-c3c4acf8b10b,Дальневосточный,0,4ad2b162-6600-4082-8553-9ebc04ea725d,8,Приморский край,43909681-d6e1-432d-b61f-ddac393cb5da,,,ул Красногвардейская,fbce14a3-ae38-4af7-8194-2b32d7bc3c69,44.590099,132.815744,,,44.580835,132.82594,,,,,,,,,,,,,,,,,Красногвардейская,4ad2b162-6600-4082-8553-9ebc04ea725d,75/1,
117,61,496.5,DZERZHINSKOGO 82/2        VELSK       ,"улица Дзержинского, 82, Вельск, Архангельская область, Россия, 165150",61.069724,42.112419,-0.069485196898084,436b8365-a1a4-4acf-9941-a450062fd2f8,Вельский р-н,г Вельск,71051070-fce3-4a4d-a9d9-cd50f6dc6310,Северо-Западный,1,0aafba42-0f0e-4fc0-a92e-632aa0310f16,8,Архангельская обл,294277aa-e25d-428c-95ad-46719c4ddb44,,,ул Дзержинского,ebc0b935-db10-4aaf-bb35-268553655042,61.065915,42.10331,,,61.0638,42.105744,,,,,,,,,,,,,,,,,Дзержинского,0aafba42-0f0e-4fc0-a92e-632aa0310f16,82,
118,62,496.5,LENINA 2                  USMAN       ,"улица Ленина, 2, Усмань, Липецкая область, Россия",52.038882,39.73668,-0.0560772655674922,2922596b-f4e7-4093-b59e-4156018615de,Усманский р-н,г Усмань,1b3ce1ae-6edd-464b-ab82-79237510cd5c,Центральный,1,16e242a6-db12-4aae-b9b4-a20716887d04,8,Липецкая обл,1490490e-49c5-421c-9572-5673ba5d80c8,,,ул Ленина,e11addb6-5878-4ed7-973a-67ff125067ea,52.044338,39.726367,,,52.056756,39.734039,,,,,,,,,,,,,,,,,Ленина,16e242a6-db12-4aae-b9b4-a20716887d04,2,
2615,64,496.5,DZERZHINSKOGO 32          YAKUTSK     ,"улица Дзержинского, 32, Якутск, Республика Саха (Якутия), Россия, 677009",62.045883,129.741026,-0.0170205853646332,,,г Якутск,884c84a2-0141-4652-962d-8a92989b88f7,Дальневосточный,2,3288be46-7ce3-4add-9aa1-9eb15d86c8a1,8,Респ Саха /Якутия/,c225d3db-1db6-4063-ace0-b3fe9ea3805f,,,ул Дзержинского,78a743d3-0ed8-45c5-b5cc-0c85c16593be,62.028098,129.732555,,,62.047212,129.739742,,,,,,,,,,,,,,,,,Дзержинского,3288be46-7ce3-4add-9aa1-9eb15d86c8a1,32,
